razor	6.93	0	network_razor_0
rattle	18.74	0	network_rattle_0
house	7.12	29	network_house_29
lip	4.25	19	network_lip_19
have	11.11	32	network_have_32
surrender	20.46	0	network_surrender_0
heavy	15.81	15	network_heavy_15
go away, depart	10.49	26	network_go away, depart_26
brave	16.52	2	network_brave_2
disappear	10.491	16	network_disappear_16
cotton	6.24	7	network_cotton_7
throat	4.29	16	network_throat_16
smell (vb intrans)	15.21	17	network_smell (vb intrans)_17
high	12.31	34	network_high_34
headland, point	1.343	40	network_headland, point_40
regret, be sorry	16.34	9	network_regret, be sorry_9
thunder	1.56	3	network_thunder_3
defend	20.44	14	network_defend_14
peace	20.14	7	network_peace_7
threshing-floor	8.35	0	network_threshing-floor_0
joyful, glad, happy	16.23	0	network_joyful, glad, happy_0
sit	12.13	8	network_sit_8
blue	15.67	14	network_blue_14
headband, headdress	6.78	3	network_headband, headdress_3
cattle (bovine)	3.2	28	network_cattle (bovine)_28
roll	10.15	16	network_roll_16
listen	15.42	21	network_listen_21
destroy	11.27	10	network_destroy_10
rub, wipe	9.31	6	network_rub, wipe_6
twins	2.458	3	network_twins_3
barley	8.44	0	network_barley_0
thigh	4.351	16	network_thigh_16
thick (in dimension)	12.63	13	network_thick (in dimension)_13
grandmother	2.47	22	network_grandmother_22
ten	13.10	0	network_ten_0
fly (vb)	10.37	2	network_fly (vb)_2
bear	3.73	0	network_bear_0
fire	1.81	31	network_fire_31
light (noun)	1.61	36	network_light (noun)_36
nit (louse egg)	3.812	0	network_nit (louse egg)_0
rise	10.21	23	network_rise_23
live, living, life	4.74	17	network_live, living, life_17
no, negative	17.56	7	network_no, negative_7
pour	9.35	14	network_pour_14
head	4.2	41	network_head_41
quiet, silence	15.46	9	network_quiet, silence_9
fireplace	7.31	7	network_fireplace_7
dare	16.51	2	network_dare_2
beech	8.62	0	network_beech_0
chop, hew	9.222	17	network_chop, hew_17
calf of leg	4.352	8	network_calf of leg_8
hear	15.41	23	network_hear_23
beak	4.241	11	network_beak_11
beam	7.55	15	network_beam_15
bean	5.66	0	network_bean_0
pinch	15.712	17	network_pinch_17
sphere, ball	12.83	5	network_sphere, ball_5
you (singular)	2.92	2	network_you (singular)_2
meal, flour	5.55	15	network_meal, flour_15
always	14.31	3	network_always_3
straight	12.73	18	network_straight_18
dig	8.22	12	network_dig_12
field (for cultivation)	8.12	8	network_field (for cultivation)_8
admit, confess	18.33	31	network_admit, confess_31
scrape	5.48	7	network_scrape_7
physician	4.87	0	network_physician_0
body hair	4.144	22	network_body hair_22
king, ruler	19.32	9	network_king, ruler_9
side of head, temple	4.201	0	network_side of head, temple_0
ice	1.77	2	network_ice_2
tax, tribute	11.69	0	network_tax, tribute_0
pitcher, jug	5.34	11	network_pitcher, jug_11
ready	14.29	0	network_ready_0
last, endure	14.252	0	network_last, endure_0
rabbit	3.614	0	network_rabbit_0
lock (noun)	7.23	3	network_lock (noun)_3
swelling	4.853	5	network_swelling_5
limp	10.451	2	network_limp_2
love	16.27	7	network_love_7
conspiracy, plot	19.63	0	network_conspiracy, plot_0
